Year,Temperature_Anomaly(°C),Actual_Temperature(°C)
1920,-0.27,13.73
1921,-0.24,13.76
1922,-0.28,13.72
1923,-0.25,13.75
1924,-0.28,13.72
1925,-0.22,13.78
1926,-0.1,13.9
1927,-0.21,13.79
1928,-0.19,13.81
1929,-0.36,13.64
1930,-0.16,13.84
1931,-0.12,13.88
1932,-0.2,13.8
1933,-0.29,13.71
1934,-0.15,13.85
1935,-0.2,13.8
1936,-0.14,13.86
1937,-0.02,13.98
1938,0.03,14.03
1939,0.03,14.03
1940,0.09,14.09
1941,0.14,14.14
1942,0.09,14.09
1943,0.12,14.12
1944,0.19,14.19
1945,0.12,14.12
1946,0.08,14.08
1947,0.05,14.05
1948,-0.02,13.98
1949,-0.06,13.94
1950,-0.17,13.83
1951,-0.09,13.91
1952,-0.01,13.99
1953,0.07,14.07
1954,-0.13,13.87
1955,-0.14,13.86
1956,-0.2,13.8
1957,0.03,14.03
1958,0.07,14.07
1959,0.03,14.03
1960,0.02,14.02
1961,0.07,14.07
1962,0.03,14.03
1963,0.06,14.06
1964,-0.21,13.79
1965,-0.14,13.86
1966,-0.04,13.96
1967,-0.02,13.98
1968,-0.07,13.93
1969,0.07,14.07
1970,0.02,14.02
1971,-0.08,13.92
1972,0.01,14.01
1973,0.15,14.15
1974,-0.07,13.93
1975,-0.02,13.98
1976,-0.13,13.87
1977,0.17,14.17
1978,0.09,14.09
1979,0.18,14.18
1980,0.25,14.25
1981,0.33,14.33
1982,0.13,14.13
1983,0.31,14.31
1984,0.17,14.17
1985,0.12,14.12
1986,0.18,14.18
1987,0.33,14.33
1988,0.38,14.38
1989,0.29,14.29
1990,0.44,14.44
1991,0.4,14.4
1992,0.23,14.23
1993,0.24,14.24
1994,0.32,14.32
1995,0.46,14.46
1996,0.33,14.33
1997,0.47,14.47
1998,0.63,14.63
1999,0.42,14.42
2000,0.42,14.42
2001,0.55,14.55
2002,0.62,14.62
2003,0.62,14.62
2004,0.54,14.54
2005,0.67,14.67
2006,0.63,14.63
2007,0.66,14.66
2008,0.54,14.54
2009,0.64,14.64
2010,0.71,14.71
2011,0.58,14.58
2012,0.63,14.63
2013,0.66,14.66
2014,0.73,14.73
2015,0.87,14.87
2016,1,15
2017,0.92,14.92
2018,0.85,14.85
2019,0.98,14.98
2020,1.01,15.01
2021,0.84,14.84
2022,0.89,14.89
2023,1.03,15.03
2024,1.19,15.19
